les Escaldes|Ehskal'des-Ehndzhordani,Ehskal'des-Ehngordani,Escaldes,Escaldes-Engordany|42.50729|1.53414|AD|Escaldes-Engordany
Andorra la Vella|ALV,Ando-la-Vyey,Andora,Andora la Vela|42.50779|1.52109|AD|Andorra la Vella
Warīsān|Warisan,Warsan,wrsan|25.16744|55.40708|AE|Dubai
Umm Suqaym|Umm Suqeim,Umm Suqeim 2,Umm as Suqaym,am sqym|25.15491|55.21015|AE|Dubai
Umm Al Quwain City|Oumm al Qaiwain,Um al Kawain,Um al Quweim,Umm Al Quwain|25.56473|55.55517|AE|Umm Al Quwain
Ţarīf Kalbā|Tarif Kalba|25.0695|56.33115|AE|Fujairah
Ar Rāshidīyah|Ar Rashidiyah,Al Rashidiya,Rashdia,Rashidiyah|25.22499|55.38947|AE|Dubai
Ras Al Khaimah|Julfa,Khaimah,RAK City,RKT|25.78953|55.9432|AE|Ras Al Khaimah
Zayed City|Bid' Zayed,Madinat Za'id,Madinat Zayid,mdynt zayd|23.65416|53.70522|AE|Abu Dhabi
Khawr Fakkān|Khawr Fakkan,Fakkan,Khawr al Fakkan,Khor Fakhan|25.33132|56.34199|AE|Sharjah
Kalbā|Kalba,Ghalla,Ghallah,Kalbah|25.0513|56.35422|AE|Sharjah
Jumayrā|Jumayra,Jimeirah,Jumaira,Jumairah|25.20795|55.24969|AE|Dubai
Dubai|DXB,Dabei,Dibai,Dibay|25.07725|55.30927|AE|Dubai
Dibba Al-Fujairah|Al-Fujairah,BYB,dba alfjyrt|25.59246|56.26176|AE|Fujairah
Dibba Al-Hisn|BYB,Daba,Daba al-Hisn,Diba|25.61955|56.27291|AE|Fujairah
Dayrah|Daira,Dairah,Deira,Dirah|25.27143|55.30207|AE|Dubai
Sharjah|Al Sharjah,Ash 'Mariqah,Ash Shariqa,Ash Shariqah|25.3342|55.41221|AE|Sharjah
Ar Ruways|Ar Ru'ays,Ar-Ruvais,Ruwais,alrwys|24.11028|52.73056|AE|Abu Dhabi
Ḩattā|Hatta,Al Hagarein,Al Hajarayn,Hajarain|24.80073|56.12726|AE|Dubai
Fujairah|Al Fujairah City,Al Fujayrah,Al-Fudjayra,Al-Fujayrah' emiraat|25.11641|56.34141|AE|Fujairah
Al Ain City|AAN,Ainas,Al Ain,Al Ajn|24.19167|55.76056|AE|Abu Dhabi
Ajman|Acman,Adschman,Adzhman,Adzman|25.40177|55.47878|AE|Ajman
Adh Dhayd|Adh Dhaid,Adh Dhed,Al Daid,Al-Dhayd|25.28812|55.88157|AE|Sharjah
Abu Dhabi|A-pu-that-pi,AEbu Saby,AUH,Aboe Dhabi|24.45118|54.39696|AE|Abu Dhabi
Abū Hayl|Abu Hayl,Abu Hail,Hail|25.28413|55.33153|AE|Dubai
As Saţwah|As Satwah,Al Satwa,Satwa,alstwh|25.22192|55.27459|AE|Dubai
Al Ḩamīdīyah|Al Hamidiyah,alhmydyt|25.40001|55.52925|AE|Ajman
Al Waheda||25.29173|55.33822|AE|Dubai
Al Karama||25.24004|55.30106|AE|Dubai
Al Wasl||25.19881|55.25565|AE|Dubai
The Palm Jumeirah|Palm Jumeirah,nkhlt aljmyrt|25.11607|55.13506|AE|Dubai
Bur Dubai|br dby|25.26038|55.29891|AE|Dubai
Khalifah A City|Madinat Khalifah A,mdynt khlyft a,mdynt khlyft a/ mtar abwzby aldwly|24.42588|54.605|AE|Abu Dhabi
Mirdif|mrdf|25.22443|55.41412|AE|Dubai
Hawr al ‘Anz|Hawr al 'Anz,Hawr al `Anz,Hor al Anz|25.27744|55.33675|AE|Dubai
Mankhūl|Mankhul,Al Mankhool,Mankhool,mnkhwl|25.24612|55.29222|AE|Dubai
Nāyf|Nayf,Naif|25.27139|55.30323|AE|Dubai
Al Murar al Qadīm|Al Murar al Qadim,Al Murar,Al Murar al Qadeem,almrr alqdym|25.27576|55.30738|AE|Dubai
Al Warqaa||25.19272|55.42013|AE|Dubai
International City|Dubai International City|25.16383|55.40987|AE|Dubai
Dubai Marina|Dubaj Marina,Dubaja Jakthaveno,Marina de Dubai,dby maryna|25.08525|55.14646|AE|Dubai
Dubai Internet City||25.09538|55.16171|AE|Dubai
Al Safa||25.17047|55.23336|AE|Dubai
Ar Rumaylah|alrmylt|25.40338|55.4334|AE|Ajman
Al Jurf|aljrf|25.41814|55.50791|AE|Ajman
Al Majaz||25.32354|55.38774|AE|Sharjah
Dubai Festival City||25.22177|55.35733|AE|Dubai
Dubai International Financial Centre||25.2106|55.27787|AE|Dubai
Dubai Investments Park||25.00827|55.15682|AE|Dubai
Jebel Ali||25.00255|55.10811|AE|Dubai
Bani Yas City|Bani Yas,mdynt bny yas|24.30978|54.62944|AE|Abu Dhabi
Musaffah|Musaffa,Musaffah City,msfh|24.35893|54.48267|AE|Abu Dhabi
Al Shamkhah City|mdynt alshamkht|24.39268|54.70779|AE|Abu Dhabi
Reef Al Fujairah City|ryf alfjyrt|25.14479|56.24764|AE|Fujairah
Al Bada'a||25.22462|55.26888|AE|Dubai
Al Muteena|Muteena|25.27375|55.32265|AE|Dubai
Al Mizhar First|Al Mizhar 1|25.24805|55.44128|AE|Dubai
Dubai Silicon Oasis|Silicon Oasis|25.11985|55.38718|AE|Dubai
Al Furjan||25.02651|55.14565|AE|Dubai
Business Bay||25.18544|55.26969|AE|Dubai
Al Qusais 1|Al Qusais First|25.27925|55.36995|AE|Dubai
Halwan||25.34586|55.42165|AE|Sharjah
Al Sajaah||25.31532|55.63211|AE|Sharjah
Lahbab|Lehbab,lhbab|25.03763|55.59135|AE|Dubai
Mohammed Bin Zayed City|Mohammed Bin Zayed|24.34794|54.55368|AE|Abu Dhabi
Zaranj|Sarandsch,ZAJ,Zaranas,Zarandj|30.95962|61.86037|AF|Nimroz
Bāzār-e Yakāwlang|Bazar-e Yakawlang,Bazar-e Yakavlang,Bazar-e Yekawlang,Bazare Yakawlang|34.73525|66.97379|AF|Bamyan
Taloqan|Khanabad,TQN,Taikhan,Taleqan|36.73605|69.53451|AF|Takhar
Shīnḏanḏ|Shindand,Asfazar,OAH,Sabzavar|33.30294|62.1474|AF|Herat
Shibirghān|Shibirghan,Chibirchan,Markaz-e Wilayat-e Shibirghan,Schibirgan|36.66757|65.7529|AF|Jowzjan
Shahrak|Bati Dara,Kala Shaharak,Kala Shahrak,Markaz-e Shahrak|34.10737|64.3052|AF|Ghowr
Sar-e Pul|Sar-e Pol,Sar-e Poul,Sar-i-Pul,Sari Pul|36.21544|65.93249|AF|Sar-e Pol Province
Sang-e Chārak|Sang-e Charak,Sangcharak,sngchark|35.84972|66.43694|AF|Sar-e Pol Province
Aībak|Aibak,Ajbak,Aybak,Eybak|36.26468|68.01551|AF|Samangan
Rustāq|Rustaq,Rostaq,Rustak,rstaq|37.12604|69.83045|AF|Takhar
Qarqīn|Qarqin,Karkin,Karkin Bazar,Kkhanika|37.41853|66.04358|AF|Jowzjan
Qarāwul|Qarawul,Hazrat Imam,Hazrat Imam Saiyid,Karaul|37.21959|68.7802|AF|Kunduz
Pul-e Khumrī|Pul-e Khumri,Pol-e Khomri,Poul-e Khoumri,Pul'-i-Khumri|35.94458|68.71512|AF|Baghlan
Paghmān|Paghman,Paghman Palace,Pagman,pghman|34.58787|68.95091|AF|Kabul
Nīlī|Nili,Qaryah-e Nili,niri,nyly|33.72178|66.13023|AF|Daykundi
Nahrīn|Nahrin,Nakhrin,Narain,Narin|36.0649|69.13343|AF|Baghlan
Maymana|Daerah Maymana,MMZ,Maimana,Maimanah|35.92139|64.78361|AF|Faryab
Mehtar Lām|Mehtar Lam,Laghman,Mekhtar-Lam,Mekhtari Lom|34.67139|70.20944|AF|Laghman
Mazār-e Sharīf|Mazar-e Sharif,MZR,Masar-e Scharif,Mazar-e Charif|36.70904|67.11087|AF|Balkh
Lashkar Gāh|Lashkar Gah,BST,Bist,Bost|31.59382|64.37161|AF|Helmand
Kushk|Kusk,kshk|33.29565|61.95221|AF|Herat
Kunduz|Kondoz,Konduz,Kundus,Kunduz khot|36.72895|68.857|AF|Kunduz
Khōst|Khost,Houst,KHT,Khowst|33.33951|69.92041|AF|Khowst
Khulm|Bazar-e Khulm,Kholm,Kulm,Tashkurgan|36.69736|67.69826|AF|Balkh
Khāsh|Khash,Khas|31.52919|62.79055|AF|Nimroz
Khān Neshīn|Khan Neshin,Khan Nashim,Khan Nashin,Khan Nishin|30.5488|63.7888|AF|Helmand
Khanabad|Khan Abad,hanabaddo,kanabadi,khanabada|36.68304|69.11279|AF|Kunduz
Karukh|Karokh,Karrukh,karufu,karukha|34.48108|62.5863|AF|Herat
Kandahār|Kandahar,Candahar,KDH,Kandagar|31.61332|65.71013|AF|Kandahar
Kabul|Cabool,Caboul,Cabul,Cabura|34.52813|69.17233|AF|Kabul
Jurm|Jarm,Jorm,Jurn,Shahr-e Jorm|36.86477|70.83421|AF|Badakhshan
Jalālābād|Jalalabad,Celalabad,Djelalabad,Dschalalabad|34.42647|70.45153|AF|Nangarhar
Jabal os Saraj|Djabal-ul-Seradj,Dzhabal'-Ussaradzh,Jabal Saraj,Jabal us Siraj|35.11833|69.23778|AF|Parwan
Herāt|Herat,Gerat,Gerot,HEA|34.34817|62.19967|AF|Herat
Ghormach|Garmak,Ghormac,Ghowrmach,Gormach|35.73062|63.78264|AF|Badghis
Ghazni|GZI,Gazna,Gazni,Qazni|33.55391|68.42096|AF|Ghazni
Gereshk|Geresk,Girishk,Nahr-e Saraj,geresaka|31.82089|64.57005|AF|Helmand
Gardez|GRG,Gardeyz,Gardiz,garadeza|33.59744|69.22592|AF|Paktia
Fayzabad|FBD,Faizabad,Fajzabad,Fajzobod|37.11664|70.58002|AF|Badakhshan
Farah|FAH,Farahas,Farakh,Faro|32.37451|62.11638|AF|Farah
Istālif|Istalif,Estalef,Istalef,Istilif|34.83268|69.07756|AF|Kabul
Eslam Qaleh|Eslam Qal`eh,Eslamqal`a,Islam Kala,Islam Killa|34.66667|61.06667|AF|Herat
Charikar|Caharikar,Carikar,Carikaras,Chaharikar|35.01361|69.17139|AF|Parwan
Baraki Barak|Barah Ki Barak,Baraki Burak,Barakibarak,Barqi Barq|33.96744|68.9492|AF|Logar
